Project_Type,Team_Size,Project_Budget_USD,Estimated_Timeline_Months,Complexity_Score,Stakeholder_Count,Methodology_Used,Team_Experience_Level,Past_Similar_Projects,External_Dependencies_Count,Change_Request_Frequency,Project_Phase,Requirement_Stability,Team_Turnover_Rate,Vendor_Reliability_Score,Historical_Risk_Incidents,Communication_Frequency,Regulatory_Compliance_Level,Technology_Familiarity,Geographical_Distribution,Stakeholder_Engagement_Level,Schedule_Pressure,Budget_Utilization_Rate,Executive_Sponsorship,Funding_Source,Market_Volatility,Integration_Complexity,Resource_Availability,Priority_Level,Organizational_Change_Frequency,Cross_Functional_Dependencies,Previous_Delivery_Success_Rate,Technical_Debt_Level,Project_Manager_Experience,Org_Process_Maturity,Data_Security_Requirements,Key_Stakeholder_Availability,Contract_Type,Resource_Contention_Level,Industry_Volatility,Client_Experience_Level,Change_Control_Maturity,Risk_Management_Maturity,Team_Colocation,Documentation_Quality,Project_Start_Month,Current_Phase_Duration_Months,Seasonal_Risk_Factor,Risk_Level
IT,8,528006.96,9,3.71,5,Agile,Mixed,4,2,1.15,Execution,Stable,0.23,0.78,2,2.22,Critical,New,2,Poor,0.03,1.16,Moderate,Government,0.05,8.81,0.94,Critical,0.56,3,0.62,0.77,Senior PM,Optimizing,Strict,Poor,Cost-Plus,Medium,High,First-time,Basic,Advanced,Partially Colocated,Basic,6,2,1.0,High
IT,8,553016.33,10,4.97,6,Scrum,Expert,2,4,0.63,Monitoring,Stable,0.18,0.89,0,7.92,Medium,Familiar,3,Medium,0.2,1.08,Moderate,Internal,0.05,3.41,0.51,Medium,0.69,0,0.85,0.35,Mid-level PM,Optimizing,Medium,Limited,Time & Materials,High,High,Occasional,Formal,Formal,Hybrid,Poor,9,3,1.0,Low
IT,10,1107226.88,19,6.49,13,Kanban,Junior,0,3,0.78,Monitoring,Stable,0.59,0.61,2,5.74,Low,Familiar,2,Medium,0.0,1.1,Moderate,Internal,0.99,4.09,0.53,Low,0.84,1,0.47,0.6,Senior PM,Defined,High,Good,Fixed-Price,Low,Moderate,Regular,Basic,Basic,Hybrid,Poor,10,5,1.1,High
IT,14,955789.03,13,6.39,10,Scrum,Mixed,3,3,1.97,Initiation,Moderate,0.26,0.6,0,8.6,Medium,New,5,Excellent,0.19,1.09,Weak,Internal,0.72,1.63,0.97,Critical,1.77,3,0.77,0.28,Certified PM,Managed,High,Poor,Time & Materials,Low,Moderate,Strategic,Formal,Basic,Hybrid,Good,5,5,1.0,Low
IT,5,807151.29,9,4.45,7,Scrum,Mixed,0,3,2.59,Monitoring,Moderate,0.39,0.51,1,3.04,Medium,New,3,Medium,0.19,1.26,Moderate,Government,0.78,4.97,0.49,Low,0.22,7,0.89,0.97,Mid-level PM,Managed,Strict,Moderate,Fixed-Price,Low,Moderate,Regular,Basic,Formal,Partially Colocated,Good,7,3,1.0,High
Marketing,9,700041.13,5,2.39,9,Scrum,Junior,0,2,1.09,Execution,Volatile,0.57,0.79,1,3.62,Medium,Expert,5,Low,0.16,0.96,Strong,Internal,0.89,6.29,0.39,High,1.09,2,0.7,0.0,Mid-level PM,Defined,Medium,Good,Fixed-Price,Medium,Moderate,Strategic,Advanced,Formal,Hybrid,Good,5,1,1.0,Medium
R&D,15,1720529.04,19,7.07,13,Agile,Mixed,3,3,4.82,Monitoring,Moderate,0.36,0.84,1,0.92,High,New,2,High,0.0,1.09,Weak,External,0.28,4.81,0.49,Critical,2.62,3,0.92,0.0,Junior PM,Defined,Medium,Excellent,Fixed-Price,Medium,Moderate,Strategic,Basic,Formal,Hybrid,Basic,10,3,1.0,Medium
Marketing,19,1038364.73,19,5.21,10,Waterfall,Junior,1,4,1.19,Monitoring,Stable,0.56,0.9,0,2.74,Low,New,2,Excellent,0.0,0.65,Weak,External,0.57,1.11,0.69,Critical,0.07,0,0.88,0.0,Junior PM,Ad-hoc,Low,Good,Time & Materials,Medium,Moderate,Strategic,Basic,Unknown,Partially Colocated,Good,8,4,1.0,Medium
IT,9,571662.34,11,6.17,10,Scrum,Senior,3,4,1.98,Closure,Moderate,0.21,0.88,1,3.77,Low,Familiar,4,High,0.29,0.78,Moderate,Internal,0.16,6.6,0.31,Medium,0.7,2,0.47,0.98,Senior PM,Managed,Strict,Good,Time & Materials,Low,Moderate,First-time,Unknown,Formal,Hybrid,Good,11,1,1.1,Medium
R&D,15,1772354.47,17,5.04,18,Scrum,Senior,3,4,0.7,Initiation,Moderate,0.28,0.87,1,5.55,High,New,2,High,0.0,0.76,Weak,External,0.14,9.95,0.81,Medium,1.08,4,0.67,0.0,Senior PM,Defined,Medium,Moderate,Fixed-Price,Low,Stable,Strategic,Basic,Basic,Fully Colocated,Good,1,1,1.0,Medium
R&D,21,1937281.54,25,10.0,13,Agile,Junior,4,7,2.22,Monitoring,Volatile,0.45,0.83,1,2.67,Medium,New,3,Excellent,0.0,0.83,Weak,External,0.59,8.07,0.95,Medium,1.03,0,0.74,0.0,Senior PM,Ad-hoc,High,Good,Time & Materials,Medium,High,Regular,Formal,Unknown,Hybrid,Basic,3,11,1.0,Critical
Healthcare,14,750940.86,9,3.01,7,Waterfall,Senior,6,3,0.36,Closure,Moderate,0.23,0.76,0,0.88,High,Familiar,2,Low,0.0,0.61,Strong,External,0.47,5.88,0.4,Low,0.53,2,0.75,0.0,Junior PM,Ad-hoc,High,Poor,Hybrid,High,Moderate,Regular,Unknown,Basic,Fully Remote,Basic,5,1,1.0,Critical
R&D,27,2228932.72,25,10.0,18,Agile,Mixed,0,6,1.99,Closure,Stable,0.38,0.66,2,2.93,Medium,New,4,Low,0.0,1.12,Weak,Internal,0.67,4.88,0.32,Medium,0.63,3,0.63,0.0,Certified PM,Optimizing,Medium,Limited,Hybrid,High,High,Strategic,Advanced,Formal,Fully Colocated,Basic,5,6,1.0,Medium
IT,9,680247.98,8,4.65,7,Scrum,Mixed,0,3,2.98,Monitoring,Stable,0.11,0.59,3,5.5,Low,Familiar,1,Excellent,0.31,0.63,Moderate,External,0.4,3.42,0.61,Medium,1.48,3,0.92,0.54,Mid-level PM,Ad-hoc,Medium,Excellent,Time & Materials,High,Extreme,Regular,Unknown,Basic,Fully Remote,Good,6,3,1.0,Medium
Healthcare,4,275500.73,4,2.05,7,Waterfall,Senior,4,0,0.57,Planning,Stable,0.2,0.67,1,3.07,High,Expert,3,Poor,0.22,1.12,Moderate,Internal,0.49,3.0,0.59,Low,0.64,7,0.82,0.0,Junior PM,Defined,Medium,Moderate,Time & Materials,Low,Moderate,Occasional,Basic,Basic,Fully Colocated,Basic,3,1,1.0,Medium
Construction,18,1236983.94,16,4.13,15,Waterfall,Senior,4,4,2.05,Planning,Moderate,0.14,0.95,1,1.02,Critical,New,1,High,0.0,1.24,Strong,Mixed,0.89,8.9,0.64,Low,1.09,4,0.52,0.0,Mid-level PM,Managed,Medium,Moderate,Time & Materials,Medium,Moderate,Strategic,Formal,Basic,Fully Colocated,Good,9,7,1.0,High
Marketing,15,1486071.25,24,9.54,14,Kanban,Mixed,1,5,1.65,Initiation,Stable,0.39,0.38,2,5.29,Low,New,5,Poor,0.0,1.05,Moderate,Mixed,0.72,6.6,0.79,Critical,0.76,6,0.93,0.0,Junior PM,Defined,Medium,Limited,Fixed-Price,Medium,Extreme,Regular,Formal,Basic,Partially Colocated,Basic,8,4,1.0,Critical
Marketing,12,544343.39,15,6.16,7,Hybrid,Senior,5,3,1.66,Execution,Moderate,0.37,0.58,4,3.97,High,New,1,Low,0.03,0.66,Strong,External,0.38,8.97,0.82,Low,0.37,6,0.92,0.0,Senior PM,Defined,Medium,Moderate,Fixed-Price,High,Extreme,First-time,Basic,Basic,Fully Remote,Basic,2,6,1.0,Critical
Manufacturing,24,1249326.34,20,5.21,9,Waterfall,Mixed,0,3,2.44,Initiation,Moderate,0.51,0.93,1,1.78,High,Familiar,1,Poor,0.0,0.69,Moderate,Internal,0.78,4.38,0.75,Medium,0.63,0,0.78,0.0,Junior PM,Defined,Low,Limited,Time & Materials,Medium,High,Strategic,Formal,Formal,Partially Colocated,Poor,9,1,1.0,High
IT,15,1341197.88,21,7.89,15,Scrum,Senior,1,3,1.05,Execution,Moderate,0.36,0.69,0,5.3,Critical,Familiar,1,High,0.0,0.82,Moderate,Internal,0.52,4.55,0.88,Medium,0.48,3,0.66,0.82,Mid-level PM,Managed,Medium,Moderate,Cost-Plus,High,High,Regular,Unknown,Unknown,Partially Colocated,Good,6,5,1.0,Critical
IT,10,924170.34,15,6.12,12,Scrum,Mixed,0,5,2.88,Planning,Moderate,0.18,0.87,1,4.52,Low,Familiar,4,Low,0.02,1.23,Strong,External,0.07,1.93,0.91,High,0.31,1,0.96,0.29,Junior PM,Managed,Strict,Limited,Fixed-Price,Low,High,Strategic,Basic,Formal,Fully Remote,Poor,12,3,1.1,Medium
Healthcare,30,1197693.44,27,8.7,8,Waterfall,Mixed,1,4,5.2,Monitoring,Stable,0.12,0.56,2,2.88,Critical,Familiar,5,Low,0.0,0.68,Moderate,External,0.1,3.71,0.7,Low,3.32,7,0.91,0.0,Junior PM,Managed,Medium,Moderate,Time & Materials,Medium,Extreme,Occasional,Formal,Formal,Hybrid,Basic,10,9,1.0,High
R&D,25,1929455.77,28,10.0,14,Scrum,Mixed,4,4,0.86,Execution,Volatile,0.61,0.69,0,1.99,Medium,Expert,4,Medium,0.0,1.15,Moderate,Internal,0.72,3.21,0.66,Medium,1.75,4,0.94,0.0,Mid-level PM,Managed,Medium,Moderate,Cost-Plus,High,High,Occasional,Formal,Advanced,Hybrid,Basic,9,12,1.0,High
IT,9,593815.64,10,3.59,4,Kanban,Expert,2,2,2.69,Initiation,Stable,0.22,0.84,3,2.33,Low,Familiar,4,Medium,0.0,0.81,Strong,Government,0.12,3.78,0.83,Critical,0.59,1,0.99,0.13,Mid-level PM,Managed,Strict,Limited,Hybrid,Low,Moderate,Occasional,Advanced,Formal,Fully Colocated,Basic,1,4,1.0,Low
R&D,15,1641643.17,20,7.44,11,Agile,Junior,1,5,1.27,Planning,Stable,0.39,0.59,2,3.07,Low,New,2,Medium,0.0,1.26,Moderate,External,0.46,5.78,0.52,Medium,1.66,7,0.74,0.0,Mid-level PM,Defined,Low,Poor,Cost-Plus,Medium,High,Regular,Unknown,Formal,Fully Remote,Good,12,3,1.0,Critical
Manufacturing,18,882379.57,18,5.42,8,Hybrid,Mixed,0,1,0.34,Initiation,Stable,0.32,0.53,1,7.25,Critical,Familiar,5,Medium,0.0,0.85,Moderate,Mixed,0.85,3.86,0.46,Critical,0.72,0,0.75,0.0,Senior PM,Defined,Low,Moderate,Time & Materials,High,Stable,Regular,Formal,Basic,Partially Colocated,Basic,12,1,1.0,High
Marketing,16,946564.29,16,4.17,13,Hybrid,Expert,0,4,2.32,Initiation,Stable,0.41,0.84,0,1.89,Low,Familiar,3,Medium,0.0,0.83,Strong,Mixed,0.04,1.74,0.75,Medium,1.05,1,0.77,0.0,Senior PM,Managed,Medium,Limited,Fixed-Price,Medium,High,Regular,Basic,Formal,Fully Remote,Poor,4,3,1.0,Medium
Construction,21,1216747.24,20,5.87,11,Waterfall,Mixed,1,2,0.66,Closure,Moderate,0.53,0.65,1,5.14,Critical,Expert,2,Poor,0.0,0.83,Moderate,Government,0.01,6.4,0.33,Low,1.64,3,0.47,0.0,Mid-level PM,Managed,Low,Good,Hybrid,High,High,Occasional,Unknown,Formal,Fully Colocated,Excellent,8,4,1.0,High
Manufacturing,12,899365.84,19,7.8,6,Agile,Senior,5,3,1.67,Initiation,Moderate,0.19,0.8,2,1.99,Medium,Familiar,4,Medium,0.03,1.07,Moderate,External,0.68,6.99,0.67,Critical,1.17,3,0.73,0.0,Certified PM,Ad-hoc,Low,Good,Hybrid,Medium,Extreme,Regular,Unknown,Basic,Partially Colocated,Basic,11,5,1.0,Medium
Manufacturing,18,1019475.38,18,7.14,10,Hybrid,Junior,2,3,1.81,Closure,Moderate,0.35,0.45,1,6.18,Low,New,2,Poor,0.0,1.12,Moderate,Internal,0.45,9.21,0.39,Medium,0.75,1,0.88,0.0,Mid-level PM,Defined,Low,Good,Hybrid,Medium,Extreme,Occasional,Basic,Basic,Hybrid,Poor,1,5,1.0,Critical
R&D,24,2356885.97,26,10.0,21,Agile,Mixed,3,5,0.98,Initiation,Moderate,0.6,0.79,2,3.19,High,New,5,Medium,0.0,1.05,Strong,Mixed,0.3,8.52,0.74,High,1.16,1,0.65,0.0,Mid-level PM,Defined,Low,Moderate,Time & Materials,High,High,Regular,Basic,Basic,Fully Remote,Basic,8,4,1.0,High
Construction,23,1620575.36,19,4.15,14,Waterfall,Mixed,0,3,2.48,Initiation,Moderate,0.6,0.65,1,3.82,Critical,Familiar,3,Medium,0.0,0.82,Moderate,External,0.16,4.25,0.48,Critical,1.59,0,0.95,0.0,Junior PM,Ad-hoc,High,Limited,Hybrid,High,Stable,Occasional,Basic,Basic,Hybrid,Basic,6,5,1.0,High
Healthcare,10,1039168.4,9,4.28,8,Scrum,Mixed,2,2,4.04,Closure,Moderate,0.67,0.77,1,3.63,High,Familiar,5,Medium,0.16,0.64,Strong,Mixed,0.19,3.01,0.38,High,1.79,7,0.89,0.0,Junior PM,Managed,High,Poor,Hybrid,Low,Moderate,Strategic,Formal,Basic,Hybrid,Basic,7,1,1.0,Medium
IT,6,412311.09,9,4.01,5,Agile,Mixed,1,3,2.32,Execution,Moderate,0.27,0.83,0,1.69,Critical,Expert,4,Low,0.1,0.78,Moderate,External,0.32,5.32,0.32,Low,0.91,1,0.53,0.08,Junior PM,Optimizing,High,Poor,Fixed-Price,Low,Stable,Occasional,Formal,Advanced,Partially Colocated,Basic,3,1,1.0,Medium
Manufacturing,10,1138055.63,18,7.16,8,Kanban,Mixed,1,4,1.25,Closure,Moderate,0.42,0.84,0,2.7,High,Familiar,2,Medium,0.0,0.85,Moderate,Mixed,0.36,5.62,0.91,Low,0.15,7,0.53,0.0,Senior PM,Ad-hoc,High,Poor,Fixed-Price,High,High,Regular,Unknown,Basic,Fully Colocated,Basic,5,7,1.0,Critical
R&D,24,2190405.74,26,10.0,19,Scrum,Senior,5,5,1.98,Planning,Stable,0.04,0.75,1,4.56,Low,Familiar,2,Low,0.0,0.61,Moderate,External,0.7,2.86,0.71,Critical,1.78,6,0.89,0.0,Mid-level PM,Ad-hoc,Low,Good,Fixed-Price,Low,High,Regular,Basic,Unknown,Hybrid,Basic,9,9,1.0,Medium
Marketing,11,1189536.07,19,5.83,8,Kanban,Expert,6,3,3.16,Monitoring,Volatile,0.06,0.76,0,2.92,Critical,Familiar,1,Medium,0.0,1.2,Strong,Mixed,0.05,5.27,0.72,Critical,2.52,2,0.88,0.0,Certified PM,Ad-hoc,Medium,Poor,Cost-Plus,High,Moderate,Strategic,Unknown,Unknown,Fully Colocated,Basic,9,6,1.0,Medium
R&D,22,1980930.8,24,9.54,18,Agile,Junior,0,5,1.05,Initiation,Moderate,0.46,0.74,0,3.59,High,Familiar,1,Medium,0.0,1.0,Strong,External,0.71,5.37,0.79,High,0.78,6,0.91,0.0,Senior PM,Ad-hoc,High,Excellent,Cost-Plus,High,High,Strategic,Formal,Unknown,Fully Remote,Excellent,7,11,1.0,High
Healthcare,8,473903.87,9,2.46,9,Hybrid,Junior,0,2,1.13,Initiation,Moderate,0.44,0.59,0,5.31,High,New,1,Low,0.0,0.68,Strong,Mixed,0.51,7.06,0.78,High,0.58,0,0.88,0.0,Mid-level PM,Optimizing,Strict,Moderate,Hybrid,Medium,High,Strategic,Advanced,Basic,Fully Colocated,Good,10,1,1.0,Medium
R&D,15,1162553.66,15,6.82,8,Scrum,Junior,0,2,1.85,Execution,Moderate,0.28,0.66,2,3.04,Critical,Familiar,4,Poor,0.12,1.2,Weak,Mixed,0.24,8.05,0.59,High,0.05,3,0.69,0.0,Junior PM,Defined,High,Limited,Cost-Plus,Low,Moderate,Occasional,Basic,Basic,Hybrid,Excellent,8,2,1.0,Critical
IT,15,872507.93,18,8.18,12,Scrum,Junior,1,5,0.67,Initiation,Volatile,0.15,0.8,1,0.8,High,Familiar,4,Poor,0.12,0.86,Strong,Mixed,0.3,9.91,0.76,Low,2.59,6,0.71,0.32,Senior PM,Optimizing,Strict,Limited,Fixed-Price,High,Extreme,First-time,Formal,Advanced,Partially Colocated,Good,5,6,1.0,Critical
Marketing,9,638215.21,10,3.14,11,Waterfall,Mixed,0,1,0.72,Planning,Moderate,0.54,0.79,1,2.06,Low,Familiar,4,High,0.0,0.86,Moderate,External,0.74,6.5,0.78,Low,0.59,3,0.53,0.0,Senior PM,Defined,Medium,Poor,Fixed-Price,Low,High,Occasional,Unknown,Formal,Fully Colocated,Basic,1,4,1.0,High
IT,9,749386.77,17,6.53,11,Kanban,Senior,0,3,1.44,Monitoring,Moderate,0.13,0.88,2,1.78,Low,Familiar,1,Excellent,0.0,0.63,Strong,External,0.48,7.71,0.76,Medium,0.99,2,0.83,0.21,Senior PM,Defined,Strict,Excellent,Time & Materials,Medium,Moderate,First-time,Basic,Basic,Hybrid,Basic,2,2,1.0,Low
IT,12,1033841.29,14,4.68,10,Scrum,Expert,4,4,1.21,Planning,Volatile,0.22,0.75,4,5.12,Medium,Expert,2,High,0.0,1.01,Weak,External,0.15,7.35,0.89,Low,3.67,4,0.79,0.01,Senior PM,Managed,Strict,Good,Time & Materials,Low,Stable,Strategic,Advanced,Formal,Fully Colocated,Poor,12,4,1.1,Low
IT,11,961404.64,18,6.5,8,Kanban,Senior,2,4,1.37,Monitoring,Moderate,0.47,0.55,0,3.72,Medium,Expert,2,Poor,0.0,1.28,Moderate,Mixed,0.5,8.77,0.92,Low,0.97,5,0.73,0.27,Senior PM,Optimizing,Medium,Limited,Time & Materials,Low,Moderate,Occasional,Advanced,Basic,Hybrid,Basic,5,8,1.0,Medium
IT,16,1024891.25,23,8.22,11,Kanban,Mixed,3,5,1.04,Monitoring,Stable,0.49,0.75,1,7.24,Critical,Expert,2,Poor,0.0,1.06,Weak,External,0.01,1.38,0.65,Critical,0.88,3,0.87,0.94,Mid-level PM,Managed,Strict,Poor,Hybrid,Low,Moderate,Regular,Advanced,Formal,Fully Remote,Excellent,2,4,1.0,Medium
Healthcare,14,840574.11,15,7.12,6,Scrum,Mixed,0,5,0.54,Execution,Stable,0.39,0.55,0,4.73,Medium,Familiar,4,Medium,0.16,0.97,Moderate,External,0.86,4.15,0.54,Critical,3.36,4,0.54,0.0,Mid-level PM,Managed,Medium,Moderate,Time & Materials,Low,Extreme,Occasional,Basic,Formal,Partially Colocated,Basic,9,6,1.0,High
IT,19,1562391.12,22,10.0,13,Agile,Senior,5,4,0.91,Monitoring,Volatile,0.11,0.67,0,2.57,Medium,New,5,Low,0.12,1.28,Moderate,External,0.97,9.02,0.42,High,0.76,5,0.86,0.07,Mid-level PM,Defined,Medium,Moderate,Fixed-Price,Low,High,Regular,Formal,Advanced,Fully Colocated,Basic,9,1,1.0,High
R&D,10,1239235.35,13,5.76,15,Scrum,Expert,1,4,1.94,Closure,Stable,0.06,0.8,1,2.09,High,New,5,Low,0.1,1.29,Moderate,Government,0.92,4.5,0.74,Critical,2.45,2,0.95,0.0,Senior PM,Optimizing,High,Moderate,Hybrid,Medium,Stable,Strategic,Advanced,Advanced,Partially Colocated,Excellent,1,5,1.0,Low
Construction,22,1476428.94,16,3.39,14,Waterfall,Senior,1,3,1.12,Closure,Volatile,0.36,0.43,1,1.9,Critical,Familiar,2,Excellent,0.0,1.07,Moderate,Internal,0.38,7.49,0.89,High,0.57,4,0.82,0.0,Mid-level PM,Managed,Medium,Good,Time & Materials,Medium,Stable,Strategic,Advanced,Basic,Fully Colocated,Good,11,7,1.0,Low
Construction,38,2913580.25,31,7.04,20,Hybrid,Mixed,2,5,0.27,Execution,Volatile,0.39,0.48,2,7.19,Low,New,2,Medium,0.0,1.0,Moderate,Internal,0.52,1.95,0.62,High,0.05,2,0.54,0.0,Senior PM,Defined,Medium,Moderate,Cost-Plus,Medium,Moderate,Strategic,Basic,Formal,Partially Colocated,Good,9,2,1.0,Critical
Construction,33,2299324.9,27,8.15,16,Hybrid,Senior,2,6,0.59,Closure,Moderate,0.28,0.6,1,3.89,Critical,New,4,Medium,0.0,1.16,Moderate,Government,0.02,6.57,0.38,Critical,0.86,4,0.62,0.0,Mid-level PM,Defined,High,Limited,Fixed-Price,Medium,Extreme,Occasional,Basic,Basic,Hybrid,Poor,9,9,1.0,High
R&D,20,1437369.89,25,9.68,14,Agile,Mixed,1,6,2.75,Monitoring,Moderate,0.49,0.8,0,7.02,Medium,Expert,5,High,0.0,0.85,Weak,Internal,0.48,5.43,0.31,High,0.76,7,0.69,0.0,Junior PM,Defined,Medium,Excellent,Hybrid,Medium,High,First-time,Basic,Basic,Fully Colocated,Good,10,9,1.0,High
Construction,21,1221963.51,20,5.68,12,Waterfall,Senior,3,1,1.86,Execution,Stable,0.39,0.45,2,1.48,High,Familiar,3,High,0.0,1.2,Moderate,Mixed,0.69,8.55,0.32,Low,0.27,7,0.93,0.0,Senior PM,Defined,Medium,Limited,Fixed-Price,High,Moderate,Occasional,Basic,Formal,Partially Colocated,Basic,12,7,1.0,High
Construction,13,1075407.76,10,3.23,13,Hybrid,Senior,4,2,3.46,Initiation,Moderate,0.12,0.74,0,5.2,Medium,Familiar,3,Medium,0.0,0.69,Moderate,Government,0.76,7.88,0.67,High,0.6,5,0.95,0.0,Senior PM,Defined,Strict,Limited,Hybrid,Medium,Stable,Regular,Basic,Basic,Partially Colocated,Basic,6,1,1.0,Medium
Manufacturing,7,361921.84,8,2.35,5,Hybrid,Mixed,3,1,3.97,Monitoring,Stable,0.42,0.89,1,1.17,Critical,Familiar,1,Medium,0.0,0.77,Moderate,External,0.3,1.44,0.94,Low,0.74,6,0.91,0.0,Certified PM,Optimizing,Low,Moderate,Hybrid,High,Moderate,Occasional,Unknown,Advanced,Hybrid,Good,7,1,1.0,Low
Healthcare,6,806181.81,12,3.83,10,Kanban,Mixed,4,2,1.36,Planning,Moderate,0.2,0.45,1,2.81,High,Familiar,3,Low,0.0,0.74,Moderate,Mixed,0.79,5.49,0.33,Medium,0.23,5,0.95,0.0,Certified PM,Defined,Strict,Moderate,Time & Materials,Medium,Extreme,Regular,Unknown,Formal,Hybrid,Poor,3,2,1.0,Medium
IT,11,871727.29,19,8.93,6,Agile,Senior,3,5,1.6,Execution,Moderate,0.07,0.81,1,2.79,Medium,Expert,4,Low,0.15,1.2,Moderate,Government,0.52,8.94,0.46,High,0.18,1,0.79,0.66,Senior PM,Optimizing,Medium,Moderate,Time & Materials,Low,Extreme,Occasional,Advanced,Formal,Partially Colocated,Poor,9,5,1.0,Medium
Construction,40,2316497.24,30,7.94,21,Waterfall,Mixed,0,5,0.46,Planning,Stable,0.49,0.81,1,5.45,Critical,New,3,Excellent,0.0,1.03,Strong,Internal,0.27,1.78,0.99,High,1.94,2,0.83,0.0,Mid-level PM,Managed,Low,Limited,Time & Materials,High,Moderate,Regular,Basic,Unknown,Hybrid,Good,2,5,1.0,Medium
Construction,24,1634399.47,19,3.64,13,Waterfall,Mixed,2,1,3.85,Monitoring,Stable,0.1,0.58,0,5.61,Critical,Familiar,3,High,0.0,0.66,Strong,External,0.15,8.31,0.56,Medium,0.26,3,0.91,0.0,Senior PM,Defined,Strict,Excellent,Fixed-Price,Medium,Stable,Regular,Basic,Formal,Hybrid,Basic,4,4,1.0,Low
Manufacturing,15,654632.88,13,3.87,7,Waterfall,Senior,1,1,1.78,Execution,Moderate,0.14,0.83,0,3.86,Medium,Expert,5,Poor,0.0,1.17,Moderate,External,0.7,9.73,0.73,Low,0.83,7,0.65,0.0,Senior PM,Ad-hoc,Low,Moderate,Hybrid,Medium,Moderate,Regular,Unknown,Unknown,Hybrid,Good,3,2,1.0,Critical
Manufacturing,14,687974.37,16,4.74,11,Waterfall,Mixed,0,4,1.68,Closure,Moderate,0.31,0.37,4,3.06,Low,Familiar,5,Excellent,0.0,1.17,Moderate,Government,0.13,1.71,0.71,Low,1.63,0,0.78,0.0,Senior PM,Managed,Medium,Moderate,Time & Materials,Medium,Moderate,Occasional,Basic,Basic,Hybrid,Excellent,9,4,1.0,Medium
IT,13,1287842.88,21,8.91,13,Scrum,Mixed,2,4,0.22,Closure,Moderate,0.41,0.78,3,1.73,Medium,Familiar,1,Medium,0.06,1.09,Strong,External,0.91,1.66,0.36,Low,1.32,1,0.82,0.61,Mid-level PM,Ad-hoc,High,Poor,Fixed-Price,High,High,Regular,Basic,Unknown,Partially Colocated,Good,8,2,1.0,High
Manufacturing,11,1060513.28,12,4.94,12,Agile,Mixed,0,4,0.78,Monitoring,Volatile,0.7,0.44,2,4.51,Critical,Expert,3,Medium,0.03,1.06,Strong,External,0.4,2.0,0.54,Low,2.87,5,0.78,0.0,Junior PM,Managed,Low,Poor,Cost-Plus,Low,Extreme,Regular,Formal,Formal,Partially Colocated,Basic,12,3,1.0,High
IT,18,1174947.82,26,10.0,12,Kanban,Mixed,1,7,4.0,Execution,Moderate,0.41,0.85,2,2.23,High,Familiar,1,Low,0.0,0.66,Weak,External,0.14,7.97,0.72,Low,0.44,0,0.74,0.93,Mid-level PM,Defined,High,Limited,Time & Materials,Low,Extreme,Regular,Unknown,Unknown,Fully Colocated,Good,2,8,1.0,Critical
Marketing,8,644562.91,11,4.68,7,Hybrid,Mixed,1,2,3.49,Closure,Moderate,0.22,0.78,1,1.97,Medium,New,1,High,0.06,1.04,Weak,Internal,0.05,4.29,0.9,Low,0.44,4,0.57,0.0,Mid-level PM,Defined,Medium,Good,Fixed-Price,Low,Stable,Occasional,Basic,Basic,Hybrid,Excellent,2,1,1.0,Low
Marketing,25,1203884.72,25,9.26,9,Hybrid,Mixed,0,4,5.52,Initiation,Moderate,0.07,0.83,3,3.6,Low,Expert,2,Excellent,0.0,1.02,Moderate,External,0.88,3.5,0.97,High,1.91,1,0.53,0.0,Mid-level PM,Defined,Low,Moderate,Time & Materials,Medium,Extreme,Occasional,Advanced,Basic,Fully Remote,Basic,2,5,1.0,Medium
IT,14,1617916.6,19,8.36,17,Scrum,Expert,2,5,1.85,Initiation,Stable,0.27,0.49,2,0.78,High,New,1,Poor,0.09,0.64,Weak,Internal,0.95,1.81,0.49,High,1.59,6,0.59,0.96,Certified PM,Optimizing,Strict,Good,Fixed-Price,Medium,High,Strategic,Formal,Advanced,Hybrid,Excellent,10,8,1.1,Medium
R&D,15,1397623.95,17,7.5,11,Agile,Expert,1,5,0.97,Monitoring,Moderate,0.09,0.68,0,2.1,Medium,New,2,Excellent,0.09,1.27,Moderate,Mixed,0.27,2.45,0.65,Critical,0.98,1,0.66,0.0,Senior PM,Optimizing,Medium,Good,Time & Materials,Low,High,Occasional,Unknown,Basic,Hybrid,Poor,1,6,1.0,Medium
Construction,23,1290651.38,20,4.4,14,Waterfall,Mixed,1,2,0.48,Planning,Stable,0.45,0.87,1,6.08,Critical,Expert,5,Excellent,0.0,0.7,Moderate,Internal,0.72,5.5,0.65,Critical,0.85,1,0.86,0.0,Junior PM,Defined,Medium,Good,Fixed-Price,High,Stable,Regular,Unknown,Unknown,Fully Remote,Basic,1,2,1.0,Medium
IT,11,861691.73,16,7.03,8,Scrum,Mixed,0,2,1.12,Initiation,Moderate,0.54,0.67,2,6.09,Critical,Familiar,4,Low,0.09,0.74,Moderate,Government,0.43,2.8,0.85,High,2.23,0,0.77,0.59,Mid-level PM,Optimizing,High,Moderate,Time & Materials,Medium,Moderate,Regular,Formal,Formal,Fully Remote,Excellent,11,2,1.1,High
